Brand,Country,Year,Monthly_Production_Tonnes,Avg_Item_Price_USD,Release_Cycles_Per_Year,Carbon_Emissions_tCO2e,Water_Usage_Million_Litres,Landfill_Waste_Tonnes,Avg_Worker_Wage_USD,Working_Hours_Per_Week,Child_Labor_Incidents,Return_Rate_Percent,Avg_Spend_Per_Customer_USD,Shopping_Frequency_Per_Year,Instagram_Mentions_Thousands,TikTok_Mentions_Thousands,Sentiment_Score,Social_Sentiment_Label,GDP_Contribution_Million_USD,Env_Cost_Index,Sustainability_Score,Transparency_Index,Compliance_Score,Ethical_Rating,Waste_per_Item,Carbon_per_Item,Water_Usage_per_Item
H&M,USA,2017,458.6,18.3,16,1885.63,194.33,686.66,97.46,66,1,32.42,121.88,12,7311,5151,-0.48,Neutral,369.41,0.99,30.97,24.2,27.85,4.48,0.0014973,0.00411171,0.000423746
H&M,UK,2018,704.06,24.02,18,6192.13,292.17,777.74,164.95,62,2,29.16,147.27,8,4506,1042,-0.95,Positive,187.89,0.15,5.24,90.78,72.13,3.39,0.00110465,0.00879489,0.000414979
Zara,Turkey,2023,725.71,20.6,12,10431.29,194.92,831.55,165.45,51,0,32.92,107.85,4,6587,3398,-0.72,Neutral,640.14,0.12,86.91,55.41,60.87,4.63,0.00114584,0.0143739,0.000268592
H&M,USA,2018,687.6,25.41,11,9286.58,227.99,904.14,96.02,63,1,14.46,104.99,5,3698,2422,-0.67,Positive,-18.31,0.54,79.38,66.14,10.78,2.44,0.00131492,0.0135058,0.000331574
H&M,UK,2023,542.96,29.47,26,13217.63,285.73,1086.86,164.24,64,0,15.3,145.6,7,6729,3919,0.72,Positive,747.13,0.64,33.53,81.59,80.26,4.23,0.00200173,0.0243437,0.000526245
Shein,Germany,2020,482.61,21.87,22,4848.43,105.24,706,159.75,43,2,36.92,144.35,13,7310,4792,-0.84,Positive,566.38,0.54,31.46,20.21,95.26,2.22,0.00146288,0.0100463,0.000218064
Zara,Indonesia,2020,429.35,17.46,19,7136.15,231.09,698.76,141.02,65,0,19.38,109.23,4,3276,7834,0.03,Positive,560.43,0.7,84.74,0.95,40.29,4.54,0.00162748,0.0166208,0.000538232
H&M,Turkey,2024,544.58,28.34,10,9450.93,164.24,1130.29,149.05,69,0,23.55,170.33,11,4891,7210,-0.69,Neutral,335.36,0.43,32.93,42.35,57.16,4.51,0.00207553,0.0173545,0.00030159
Uniqlo,Bangladesh,2017,535.87,19.74,20,7693.68,216.7,854.6,207.1,42,1,28.13,140.53,9,5163,6468,-0.07,Neutral,415.76,0.32,89.46,54.25,97.84,4.05,0.00159479,0.0143574,0.000404389
"Forever 21",China,2018,596.12,20.4,20,9093.27,249.49,552.07,58.12,43,0,26.09,57.78,9,5220,2669,-0.18,Neutral,147.75,0.69,76.8,96.07,49.95,0.56,0.000926105,0.0152541,0.000418523
Zara,Germany,2022,355.46,6.43,25,8592.61,175.76,765.1,200.08,45,0,36.96,117.22,12,274,5685,0.09,Neutral,506,0.13,17.04,49.97,59.39,0.74,0.00215242,0.0241732,0.000494458
Uniqlo,Turkey,2017,624.11,18.97,18,8545.14,227.69,474.42,203.01,67,1,19.28,136.18,12,2443,402,-0.47,Positive,982.02,0.11,51.89,60.58,96.29,2.95,0.000760154,0.0136917,0.000364823
H&M,UK,2022,879.49,15.03,14,8459.17,257.17,642.49,106.41,44,3,29.13,174.75,18,8408,7956,0.78,Negative,510.22,0.86,52.54,69.15,88.33,2.48,0.000730526,0.00961827,0.000292408
Uniqlo,UK,2018,664.22,15.97,17,12972.87,181.88,666.59,227.82,59,0,29.72,85.7,12,3627,4593,0.95,Neutral,450.37,0.35,48.07,44.8,12.08,2.13,0.00100357,0.019531,0.000273825
H&M,China,2018,380.28,17.5,19,8100.18,194.19,1002.17,326.45,59,1,37.95,150.33,19,8923,4848,-0.58,Neutral,669.56,0.54,1.96,67.14,52.32,4.49,0.00263535,0.0213006,0.00051065
Uniqlo,India,2021,563.37,17.67,6,12671.25,204.99,793.32,210.52,61,2,39.21,142,14,7714,7067,0.62,Neutral,355.22,0.39,16.36,43.58,45.23,0.08,0.00140817,0.0224919,0.000363864
H&M,India,2023,482.72,19.3,8,12143.59,218.22,700.74,235.71,55,0,25.01,83.15,14,7499,3895,-0.04,Negative,488.23,0.99,68.67,84.14,41.48,3.84,0.00145165,0.0251566,0.000452063
H&M,Vietnam,2020,435.55,13.49,19,13876.16,122.92,935.57,232.32,43,0,23.79,139.14,8,2003,6409,-0.86,Positive,236.23,0.89,30.18,65.03,32.9,1.96,0.00214802,0.0318589,0.000282218
Shein,USA,2021,376.13,13.74,17,12008.43,267.49,577.51,98.76,47,1,27.2,107.11,4,2019,1685,0.46,Neutral,617.78,0.94,65.72,43.9,4.49,4.6,0.0015354,0.0319263,0.000711164
Uniqlo,India,2019,428.04,19.85,14,9661.02,248.1,627.81,161.76,69,2,28.47,166.81,5,610,3454,-0.55,Negative,109.68,0.19,91.68,56.02,15.38,3.97,0.00146671,0.0225704,0.000579619
"Forever 21",India,2020,187.69,23.36,29,12837.66,264.42,673.83,135.11,43,1,35.46,143.56,11,9515,2943,0.88,Positive,178.46,0.57,32.51,15.81,33.85,0.1,0.00359012,0.0683982,0.00140881
Uniqlo,China,2017,576.1,9.01,19,14039.71,286.62,858.28,151.61,41,0,10.84,112.54,14,3412,6206,0.14,Positive,546.19,0.57,3.82,61.52,82.8,0.79,0.00148981,0.0243703,0.000497518
Zara,Indonesia,2021,743.25,28.17,11,8778.43,259.31,762.51,103.6,46,0,30.03,168.16,10,8811,5785,-0.27,Negative,744.79,0.78,96.44,11.45,31.44,4.05,0.00102591,0.0118109,0.000348887
"Forever 21",USA,2024,371.94,16.5,10,5110.8,233.38,418.19,188.48,43,0,26.86,100.98,17,4930,7596,-0.1,Positive,272.32,0.11,55.68,66.15,59.19,3.68,0.00112435,0.0137409,0.000627467
"Forever 21",Bangladesh,2022,393.3,20.59,22,12900.78,296.1,503.07,116.47,40,1,31.61,78.84,13,6444,266,0.55,Negative,735.99,0.51,61.19,37.35,70.19,4.18,0.0012791,0.0328014,0.00075286
"Forever 21",India,2018,519.75,29.85,8,7661.87,160.89,738.21,44.77,55,0,38.55,103.88,7,1714,4605,0.45,Negative,747.8,0.49,63,34.06,30.12,2.89,0.00142032,0.0147415,0.000309553
"Forever 21",USA,2018,906.62,19.68,11,9772.88,246.55,928.58,162.37,53,0,13.11,82.26,6,695,1028,0.04,Positive,675.83,0.44,56.43,11.45,99.7,2.13,0.00102422,0.0107795,0.000271944
H&M,Vietnam,2020,697.11,15.26,27,8861.91,202.87,316.7,172.96,61,2,14.36,111.06,5,8089,5195,0.03,Negative,169.52,0.49,99.17,92.76,30.77,0.56,0.000454304,0.0127124,0.000291016
Zara,Brazil,2017,359.35,13.16,11,6957.48,262.87,925.61,155.73,63,1,25.13,70.44,15,719,3116,-0.74,Positive,452.21,0.9,75.17,42.29,51.72,1.85,0.00257579,0.0193613,0.000731515
Shein,Bangladesh,2019,624.2,23.51,28,13070.91,251.33,931.61,189.13,54,0,14.15,128.17,12,2811,2457,0.03,Negative,488.55,0.88,28.89,8.62,93.66,1.89,0.00149249,0.0209403,0.000402643
"Forever 21",USA,2024,706.19,21.8,8,9397.24,185.48,915.25,140.02,52,1,31.52,121.29,9,7186,3060,-0.92,Neutral,637.37,0.66,56.25,40.21,64.39,2.75,0.00129604,0.013307,0.000262649
Shein,USA,2024,410.54,12.73,22,10948.73,234.02,1142.23,188.42,62,1,32.38,67.69,16,2559,4242,0.59,Positive,531.36,0.53,79.33,35.99,93.88,2.67,0.00278226,0.0266691,0.00057003
Uniqlo,USA,2022,438.18,20.42,26,8225.82,293.31,577.09,63.04,68,2,29.03,134.61,14,9952,7899,-0.58,Neutral,720.13,0.39,24.01,55.69,10.82,4.67,0.00131702,0.0187727,0.000669382
Shein,UK,2018,331.59,16.67,8,10955.12,217.3,691.71,111.25,60,0,23.15,161.13,7,1010,356,0.87,Neutral,829.6,0.11,4.78,19.15,16.73,0.91,0.00208604,0.0330382,0.000655327
Zara,Germany,2015,429.82,29.93,29,12157.51,309.19,783.38,182.44,53,2,14.86,133.11,5,1049,5494,0.11,Negative,541.11,0.82,0.38,63.14,59.65,1.59,0.00182258,0.0282851,0.000719348
"Forever 21",Vietnam,2023,260.11,18.46,27,12618.8,345.57,896.07,135.95,58,1,23.45,103.83,5,7270,4229,0.86,Positive,430.76,0.51,73.45,36.72,1.89,0.5,0.00344497,0.0485133,0.00132855
"Forever 21",India,2022,795.04,19.8,21,6579.37,202.56,738.73,72.56,68,1,19.23,123.67,17,7903,6624,0.61,Neutral,416.21,0.78,35.69,98.95,26.26,1.27,0.000929173,0.00827552,0.00025478
Zara,Turkey,2017,446.69,27.4,15,13449.15,229.59,791.62,145.32,44,1,16.59,153.79,18,3610,895,0.44,Neutral,654.73,0.4,29.03,54.12,2.37,0.4,0.00177219,0.0301085,0.000513981
Uniqlo,USA,2021,595.3,19.41,21,11278.84,260.69,660.86,266.48,43,2,27.21,178.06,7,425,1815,0.08,Positive,373.21,0.18,2.64,79.12,25.86,1.7,0.00111013,0.0189465,0.000437914
Zara,China,2024,494.19,27.95,27,8646.09,138.93,635.57,85.62,50,2,24.79,81.47,18,8101,1078,-0.14,Positive,351.97,0.26,94.23,75.51,20.8,1.69,0.00128608,0.0174955,0.000281127
Shein,China,2016,589.38,24.72,21,10200.54,254.12,730.54,101.96,68,2,23.83,134.11,11,4699,6324,-0.88,Neutral,894.47,1,75.24,86.39,65.12,4.28,0.00123951,0.0173072,0.000431165
Shein,Vietnam,2019,453.1,16.02,28,11595,227.4,842.71,139.83,56,0,13.4,173.88,17,1189,3007,-0.51,Neutral,580.12,0.65,44.32,63.27,86.29,0.4,0.00185988,0.0255904,0.000501876
Uniqlo,China,2023,494.24,27.66,17,7683.42,299.94,724.9,184.97,56,0,39.59,143.92,9,7786,7929,0.63,Negative,799.22,0.7,33.91,7.05,58,3.6,0.0014667,0.0155459,0.000606871
H&M,Bangladesh,2022,537.25,16.23,12,7310,18.13,902.73,61.67,56,0,10.38,111.45,6,1978,1303,-0.83,Positive,386.55,0.73,5.26,5.93,30.53,4.48,0.00168028,0.0136063,0.0000337459
Zara,China,2017,686.93,23.26,11,11558.29,122.97,995.31,252.82,59,2,31.03,89.34,15,2489,5974,0.39,Positive,288.66,0.25,14.87,45.63,38.58,3.57,0.00144892,0.016826,0.000179014
Shein,China,2024,505.37,19.14,23,6457.08,130.9,1222.26,106.97,61,1,12.18,149.26,19,597,3867,0.32,Negative,603.9,0.5,44.66,45.76,25.87,3.58,0.00241854,0.0127769,0.000259018
Shein,Vietnam,2018,354.94,24.92,18,8377.14,70.17,940.97,167.43,62,0,27.82,84.69,3,1461,3422,0.38,Negative,830.52,0.7,16.02,0.78,75.3,0.53,0.00265107,0.0236016,0.000197695
H&M,India,2015,520.54,5.86,9,8192.13,200.11,588.16,124.99,66,1,16.29,118.04,10,7240,5932,0.47,Positive,342.05,0.6,92.9,37.8,46.37,0.44,0.0011299,0.0157378,0.000384428
H&M,Bangladesh,2022,270.3,23.94,10,8703.44,152.45,696.28,179.73,59,1,25.88,71.32,14,4754,3480,0.66,Negative,309.08,0.36,36.34,46.45,97.89,0.86,0.00257595,0.0321992,0.000564003
Zara,USA,2018,699.99,15.86,25,13047.81,175.8,502.96,47.53,48,2,12.08,99.62,14,3425,5891,-0.91,Neutral,312.4,0.45,41.64,45.09,82.69,0.49,0.000718525,0.01864,0.000251146
Uniqlo,India,2017,349.29,26.32,23,14171,278.95,1185.77,152.33,60,3,29.84,155.48,3,3870,3392,-0.2,Negative,458.11,0.19,6.15,5.13,38.02,1.69,0.0033948,0.0405709,0.00079862
Uniqlo,Bangladesh,2024,645.87,24.36,15,4873.07,140.41,657.63,143.49,66,1,33.73,87.43,18,336,2824,-0.25,Positive,505.96,0.55,34.31,24.19,39.85,0.1,0.00101821,0.00754497,0.000217397
Zara,Bangladesh,2022,408.37,22.53,7,3285.13,190.73,676.56,127.25,47,1,37.1,132.64,8,1917,682,0.84,Negative,661.55,0.48,27.88,47.09,91.78,1.94,0.00165673,0.00804449,0.000467052
Zara,Indonesia,2017,703.55,21.4,21,6745.36,178.19,671.87,165.87,50,1,34.02,125.54,10,6421,2004,-0.03,Neutral,649.96,0.55,32.17,13.22,37.64,3.36,0.000954971,0.00958761,0.000253273
Zara,India,2020,524.42,27.48,12,11034.9,82.09,923.46,150.77,55,0,25.58,139.42,9,7261,1524,0.63,Negative,518.24,0.6,25.5,26.26,3.93,1.53,0.00176092,0.0210421,0.000156535
Zara,USA,2018,606.79,15.15,24,15556.12,174.93,580.48,131.92,60,1,25.4,99.56,15,436,1717,-0.37,Neutral,1005.25,0.84,55.39,45.06,28.55,1.49,0.000956641,0.0256367,0.000288288
H&M,Brazil,2019,665.56,18.08,22,10935.53,154.27,1019.19,112.89,65,1,32.31,161.17,3,5610,3494,0.01,Negative,528.41,0.7,91.16,50.22,96.58,4.71,0.00153133,0.0164306,0.00023179
Shein,Bangladesh,2024,499.99,25.61,19,11002.98,182.6,632.3,112.88,52,1,32.02,125.9,14,3697,4894,-0.08,Negative,369.99,0.74,73.59,13.83,96.62,4.11,0.00126463,0.0220064,0.000365207
Zara,Bangladesh,2018,415.88,17.36,9,11229.06,164.18,1098.6,141.99,45,1,25.3,78.38,10,5391,5904,0.37,Negative,823.43,0.34,68.8,79.25,30.68,0.18,0.00264163,0.0270007,0.000394777
H&M,Vietnam,2016,470.68,22.73,9,13470.13,160.66,853.08,152.06,58,0,39.75,129.98,11,7326,936,0.45,Negative,233.37,0.69,73.23,35.54,82.05,0.22,0.00181244,0.0286184,0.000341336
"Forever 21",Indonesia,2015,377.2,24.49,13,7857.8,270.71,740.1,88.21,58,1,17.7,117.36,6,9524,2006,-0.21,Positive,408.7,0.73,93.79,54.24,76.84,0.45,0.00196209,0.0208319,0.000717683
Shein,Bangladesh,2020,501.64,12.59,22,10264.41,191.53,701.39,154.51,48,1,37.77,88.34,6,6065,3322,-0.6,Neutral,859.81,0.22,67.58,55.99,78.97,3.69,0.00139819,0.0204617,0.000381808
Shein,UK,2022,349.76,20.43,19,12034.86,177.74,442.89,150.68,54,2,15.95,164.04,14,7141,5225,-0.5,Negative,493.95,0.75,60.36,91.64,5,0.78,0.00126627,0.0344089,0.000508177
Uniqlo,Indonesia,2015,412.55,25.96,21,13120.17,138.87,754.45,103,56,0,28.69,121.88,14,9386,95,0.73,Positive,683.28,0.53,7.85,56.05,33.21,0.77,0.00182875,0.0318026,0.000336614
H&M,India,2024,511.08,25.97,14,12509.91,279.75,758.03,146.28,52,0,18.58,68.32,4,6239,5630,-0.01,Positive,524.51,0.48,77.86,73.44,57.46,4.11,0.00148319,0.0244774,0.00054737
H&M,Bangladesh,2023,575.72,20.34,21,10465.47,176.1,823.52,157.57,55,0,31.51,149.29,18,5296,2027,0.15,Negative,686.17,0.3,86.22,74.27,41.43,2.37,0.00143042,0.0181781,0.000305878
Zara,USA,2023,605.97,19.27,11,13406.52,311.4,781.66,148.76,55,0,28.19,141.1,14,4190,6208,-0.13,Negative,484.44,0.35,86.99,60.49,61.41,2.66,0.00128993,0.0221241,0.000513887
Zara,Brazil,2022,482.36,15.64,20,13161.25,242.75,929.29,60.03,46,0,10.09,100.48,15,8371,5208,0.65,Positive,434.67,0.71,19.89,7.97,83.7,0.39,0.00192655,0.0272851,0.000503255
Shein,China,2018,477.36,15.75,9,10261.99,94.53,917.9,8.06,65,1,33.91,63.75,12,2042,4054,0.58,Negative,381.95,0.98,78.67,76.99,85.75,0,0.00192287,0.0214974,0.000198027
Uniqlo,UK,2024,701.01,16.12,23,10891.7,172.11,782.22,115.56,59,1,21.78,91.91,9,4543,4839,0.82,Negative,557.83,0.88,55.82,32.48,29.34,0.17,0.00111585,0.0155372,0.000245517
Zara,Indonesia,2020,468.86,26.61,22,13991.3,192.76,531.98,125.72,62,1,37.43,132.31,14,7289,5301,0.2,Positive,465.82,0.54,3.22,62.46,41.68,2.8,0.00113462,0.0298411,0.000411125
"Forever 21",UK,2019,572.01,19.64,15,7932.66,228.06,1062.12,208.56,64,2,38.08,151.76,15,2953,2286,0.99,Neutral,351.95,0.11,29.96,62.32,46.93,0.58,0.00185682,0.013868,0.000398699
H&M,Indonesia,2021,464.77,19.67,24,12729.35,194.62,938.05,25.21,41,0,15.63,172.08,10,7486,6912,-0.09,Negative,556.29,0.32,87.74,74.29,89.99,4.09,0.00201831,0.0273885,0.000418745
Shein,USA,2018,462.15,16.8,24,7418.36,160.78,667.12,145.66,40,1,20.44,148.23,16,7348,4419,-0.87,Negative,654.39,0.2,65.03,31.25,34.8,2.43,0.00144351,0.0160518,0.000347896
Uniqlo,China,2016,264.1,17.19,22,8035.69,169.36,815.98,166.05,52,1,24.48,136.03,5,657,1666,0.11,Positive,91.72,0.36,2.42,62.5,25.26,3.34,0.00308966,0.0304267,0.000641272
H&M,Indonesia,2024,546.89,20.93,26,11377.54,182.33,727.51,159.27,52,0,35.12,78.95,11,8135,6234,-0.92,Negative,440.38,0.11,11.92,64.91,56.72,2.77,0.00133027,0.0208041,0.000333394
"Forever 21",India,2017,495.05,17.48,28,9004.46,256.39,786.12,210.66,46,0,18.41,76.76,18,6790,1474,-0.74,Positive,411.73,0.51,81.05,82.81,41.16,2.59,0.00158796,0.018189,0.000517907
Shein,USA,2023,506.81,19.39,20,9922.85,70.3,1051.15,9.17,58,0,24.27,152.48,17,5597,4732,0.25,Positive,454.57,0.75,67.93,47.05,38.79,1.88,0.00207405,0.019579,0.000138711
Shein,UK,2022,487.43,31.27,24,6132.78,180.9,803.48,129.19,57,1,37.88,148.6,13,1495,1636,-0.36,Neutral,657.82,0.24,20.52,78.86,16.72,0.14,0.0016484,0.0125819,0.00037113
Uniqlo,Indonesia,2018,533.76,20.31,11,12012.23,218.33,804.4,245.66,59,1,30.37,174.31,15,4004,7325,-0.24,Negative,579.85,0.44,58.91,64.77,45.17,4.84,0.00150704,0.0225049,0.000409042
Uniqlo,USA,2020,464.12,16.75,29,8413.25,246.66,508.25,161.76,51,0,31.79,87.14,12,4350,7230,0.68,Neutral,505.88,0.94,32.24,92.61,79.3,4.61,0.00109508,0.0181273,0.000531457
H&M,China,2021,325.78,23.65,27,8392.62,164.63,614.95,95.89,55,3,24.13,71.52,12,4637,1718,-0.01,Neutral,326.28,0.14,58.43,4.86,60.37,4,0.00188762,0.0257616,0.000505341
Zara,Turkey,2023,744.01,18.56,18,8642.09,210.34,960.45,166.5,51,0,34.63,126.93,8,2418,1809,0.61,Negative,795.42,0.35,36.8,7.76,71.35,0.02,0.00129091,0.0116156,0.000282711
Uniqlo,USA,2016,344.81,29.1,23,10300.87,187.16,437.53,281.53,51,0,33.7,160.14,16,6833,4481,-0.94,Negative,431.22,0.28,24.23,41.41,23.27,2.46,0.0012689,0.029874,0.000542792
Uniqlo,Brazil,2019,558.26,23.41,18,10791.27,166.47,893.45,122.79,57,2,22.07,157.98,19,7611,7295,0.85,Neutral,465.79,0.57,48.76,57.83,68.92,0.53,0.00160042,0.0193302,0.000298194
Zara,India,2018,461.58,26.38,8,14529.31,272.72,683.91,172.78,46,4,21.41,105.88,8,5855,5062,-0.27,Positive,724.24,0.91,50.32,46.48,99.75,2.47,0.00148167,0.0314773,0.00059084
H&M,USA,2018,508.08,13.37,24,12046.23,239.26,597.46,192.86,48,0,10.58,111.78,14,8259,7976,0.77,Negative,549.89,0.59,64.64,54.54,5.12,3.73,0.00117592,0.0237093,0.00047091
"Forever 21",UK,2023,830.97,20.4,29,5673.1,251.22,817.44,168.83,58,0,39.19,105.81,13,6546,7898,0.59,Negative,357.74,0.81,23.73,28.87,93.8,4.13,0.000983718,0.00682708,0.000302321
"Forever 21",Brazil,2017,424,21.2,20,11634.63,328.57,768.13,61.29,49,0,33.43,105.78,13,6311,1813,0.78,Negative,682.98,1,67.04,99,66,3.67,0.00181163,0.0274402,0.000774929
Zara,USA,2017,320.39,10.06,9,13912.2,137.17,917.11,171.53,41,0,17.95,139.85,16,3122,2634,-1,Neutral,214.9,0.64,28.41,88.05,32.73,1.45,0.00286248,0.0434227,0.000428134
"Forever 21",Germany,2018,397.37,17.78,11,10059.99,176.01,1475.48,183.83,48,0,25.61,130,10,8964,2961,0.6,Neutral,529.56,0.57,57.21,85.3,80.59,0.66,0.00371311,0.0253164,0.000442937
Uniqlo,Turkey,2023,422.2,28.59,22,9954.74,76.47,631.31,192.18,62,0,11.48,125.14,12,6294,4645,0.59,Positive,617.42,0.64,71.09,30.38,50.95,3.74,0.00149529,0.0235783,0.000181123
Zara,Vietnam,2021,848.31,15.71,22,7842.01,203.14,954.7,197.03,53,1,18.21,124.55,15,7340,4992,0.29,Negative,295.25,0.54,62.03,54.42,73.98,3.53,0.00112541,0.00924427,0.000239464
"Forever 21",Vietnam,2016,796.11,21.89,11,10646.94,211.59,1150.33,127.69,69,0,32.45,123.85,19,2124,7716,0.92,Neutral,381.74,0.63,81.95,82.53,6.64,0.85,0.00144494,0.0133737,0.00026578
Zara,Turkey,2021,333.19,14.14,26,8766.76,244.29,754.92,90.57,59,1,29.49,114.33,16,900,7053,0.14,Positive,367.41,0.4,0.88,19.04,94.09,2.61,0.00226573,0.0263116,0.000733185
Shein,Germany,2016,500.98,20.66,20,5257.19,145.99,644.43,88.29,66,0,20.63,124.46,3,9743,2168,0.79,Positive,465.75,0.11,67.79,47.72,16.1,1.61,0.00128634,0.0104938,0.000291409
Shein,China,2016,563.03,18.47,11,16069.97,281.76,785.63,262.87,52,2,12.73,78.3,11,804,5502,-0.35,Positive,476.33,0.93,41.73,96.29,2.42,1.53,0.00139536,0.0285419,0.000500435
H&M,China,2024,611.52,21.58,24,8841.93,145.05,849.92,27.96,63,0,37.34,119.87,16,8555,5641,0.81,Positive,651.54,0.97,65.36,83.82,52.52,1.04,0.00138985,0.0144589,0.000237196
Shein,China,2024,898.06,25.95,20,8232.24,124.8,879.18,144.14,48,3,22.59,69.3,11,5039,708,-0.08,Positive,479.27,0.99,39.24,36.23,31.86,4.47,0.000978977,0.00916669,0.000138966
Shein,Vietnam,2015,880.31,19.58,25,4783.93,218.95,951.16,176.21,65,0,36.46,183.58,11,1811,1275,-0.51,Negative,235.02,0.73,9.92,90.89,21.5,1.02,0.00108048,0.00543437,0.000248719
"Forever 21",Brazil,2016,567.19,21.62,25,11806.58,205.41,760.26,152,52,0,31.95,66.62,10,6868,1502,0.6,Neutral,393.4,0.32,72.54,6.83,95.51,0.97,0.0013404,0.0208159,0.000362154
Zara,USA,2018,523.65,20.97,17,9473.85,194.28,1015.39,128.78,53,1,13.49,67.33,8,8469,3978,0.95,Neutral,590.78,0.13,28.51,19.54,1.12,1.21,0.00193906,0.018092,0.000371011
"Forever 21",Turkey,2017,334.81,23.66,25,11012.84,240.55,475.7,83.01,47,2,10.75,88.34,15,9187,5065,-0.03,Positive,561.81,0.3,19.52,16.54,77.72,1.14,0.00142081,0.0328928,0.000718467
"Forever 21",Indonesia,2023,109.91,27.15,24,10186.95,121.52,978.33,102.24,49,1,14.62,87.41,16,1720,5442,-0.63,Negative,600.33,0.94,97.68,73.97,25.22,1.3,0.00890119,0.0926845,0.00110563
Uniqlo,Germany,2015,374.55,21.59,11,17516.35,172.9,1179.03,136.84,44,0,36.66,146.55,18,5751,3421,-0.6,Neutral,257.63,0.96,50.24,91.7,70.68,3.61,0.00314786,0.0467664,0.000461621
H&M,Indonesia,2024,672.35,16.88,10,13012.13,272.74,917.94,97.75,61,0,32.91,111.91,8,7427,7457,0.89,Neutral,353.86,0.64,65.79,6.39,16.6,1.5,0.00136527,0.0193532,0.000405652
"Forever 21",Brazil,2019,726.59,21.08,16,8576.66,219.19,903.87,192.08,50,1,31.67,147.62,6,8598,581,-0.74,Negative,745.57,0.73,50.62,2.56,92.47,4.26,0.00124399,0.011804,0.000301669
Shein,Turkey,2022,266.95,20.7,26,14221.88,213.93,816.52,121.85,45,1,35.64,152.86,7,9537,2311,0.71,Negative,482.98,0.63,88.91,93.78,5.36,2.5,0.0030587,0.0532754,0.000801386
Zara,Germany,2019,716.64,12.83,13,4694.53,174.73,850.11,131.2,43,3,13.24,93.98,15,7345,3689,-0.26,Neutral,502.72,0.16,62.22,58.52,28.09,4.55,0.00118624,0.00655075,0.000243818
"Forever 21",Brazil,2019,429.05,10.78,17,11420.22,194.17,775.3,109.71,42,1,25.41,110.48,6,5956,6259,0.46,Positive,527.78,0.33,17.52,69.07,84.28,2.41,0.00180702,0.0266175,0.000452558
Uniqlo,Indonesia,2021,216.19,21.51,15,8776.82,181.33,830.23,51.43,48,2,19,133.1,7,3104,3964,-0.64,Negative,298.97,0.49,80.69,29.39,25.39,3.1,0.00384028,0.0405977,0.000838753
H&M,Germany,2016,394.25,20.29,23,8428.05,328.92,797.83,136.01,59,0,35.03,171.19,6,9760,5637,-0.26,Positive,147.1,0.29,77.51,43.31,19.2,4.52,0.00202367,0.0213774,0.000834293
Shein,Indonesia,2019,507.38,19.04,19,10336.56,197.45,704.16,202.61,65,0,39.99,135.28,13,8127,5810,-0.19,Positive,376.79,0.73,55.71,85.3,31.51,2.62,0.00138784,0.0203724,0.000389156
H&M,India,2017,169.56,18.9,23,15520.11,253.91,711.34,88.06,61,1,37.68,109.61,16,5639,7543,0.52,Positive,645.3,0.61,30.02,40.02,68.99,4.53,0.00419521,0.0915317,0.00149746
"Forever 21",Germany,2024,530.37,14.76,10,7230.48,232.2,1030.3,166.53,47,2,26.92,86.28,12,2786,240,-0.9,Neutral,520.51,0.95,64.15,87.69,67.61,1.78,0.00194261,0.0136329,0.000437808
Zara,UK,2017,805.58,20.74,23,7739.21,59.45,813.77,206.89,68,2,31.08,32.32,4,4007,4338,-0.07,Positive,271.22,0.18,70.68,48.93,19.09,0.08,0.00101017,0.009607,0.0000737978
"Forever 21",Indonesia,2016,379.15,19.2,18,10419.68,234.44,849.19,142.89,66,2,13.67,118.19,14,6920,370,0.55,Negative,637.19,0.25,76.75,74.94,53.93,4.33,0.00223972,0.0274817,0.00061833
Zara,India,2024,539.47,14.93,9,5362.17,170.87,632.82,136.38,46,0,35.84,123.54,19,3971,1350,0.82,Negative,80.09,0.43,4.56,30.02,53.11,2.04,0.00117304,0.0099397,0.000316737
Uniqlo,India,2022,402.63,18.01,17,9400.38,129.04,321.84,156.39,61,1,26.8,181.54,15,1996,7933,-0.92,Positive,361.24,0.4,47.05,31.45,70.02,4.13,0.000799344,0.0233474,0.000320493
Uniqlo,USA,2019,592.86,18.12,11,10736.6,195.39,630.74,64.86,50,1,29.67,84.37,6,5158,1014,-0.15,Negative,615.78,0.26,81.57,40.33,93.55,4.75,0.00106389,0.0181098,0.000329572
H&M,UK,2015,715.23,13.54,24,8969.99,268.53,1031.45,141.43,61,4,23.41,144.19,12,9402,3883,-0.76,Neutral,255.09,0.2,20.45,8.43,62,0.74,0.00144212,0.0125414,0.000375446
Shein,Germany,2020,592.43,22.78,21,5222.55,279.17,1038.39,134.86,54,0,32.71,124.07,16,6927,3060,0.52,Negative,353.76,0.4,53.4,6.17,20.87,2.43,0.00175276,0.00881547,0.000471229
H&M,USA,2022,528.82,20.47,15,16123.95,281.13,515.58,108.72,55,1,31.71,172.91,10,2358,416,0.07,Negative,672.62,0.93,68.57,74.44,83.44,1.76,0.000974963,0.0304904,0.000531618
H&M,China,2020,525.17,17.01,11,14810.08,227.73,661,199.74,57,0,21.69,162.61,16,5800,4176,-0.13,Negative,618.42,0.33,11.99,91.15,99.8,0.9,0.00125864,0.0282005,0.000433631
